,원문,번역문
230,A3 프로젝트로 스크러버 장비를 한국에서 개발하고 있습니다.,We are developing scrubber devices in Korea as the A3 project.
231,다음 달로 예약한 항공권을 취소해야 할 것 같아요.,I think I'll have to cancel my flight reservation for next month.
232,금융감독원은 신일그룹 관계자들이 제일제강의 주가를 띄우기 위해 ‘보물선 발견’이라는 허위사실을 유포했다는 혐의에 대해 조사를 벌였다.,"The Financial Supervisory Service investigated the allegations that Shinil Group officials had spread the false fact of ""finding treasure ships"" to raise the share price of Cheil Steel."
233,"또한, 첨부한 우리의 핸들링 견적서를 참고 하세요.","Also, please refer to the attached handing quotation."
234,"중구(구청장 권한대행 부구청장 김영수)는 야간 조명 단속이 실시된 첫날인 3월 8일, 구청장 권한대행의 특별지시로 12개조 160명의 공무원을 투입해 새벽 2시 이전에 반복적이고 집중적인 계도를 실시하였다.","Jung-gu District (the acting mayor and vice mayor Kim Young-su), deployed 160 officials in 12 groups to conduct repeated and intensive guidance before 2 a.m. on March 8, the first day of the nighttime lighting crackdown."
235,"북한이 핵을 포기하고 개방의 길로 들어서면 미국이 대규모 경제지원을 제공하고, 이에 힘입어 북한은 체제 번영과 주민 복지를 달성할 수 있을 것이라는 확고한 체제보장 메시지다.","If North Korea abandons its nuclear program and enters the path of opening, the United States will provide massive economic support, and North Korea will be able to achieve system prosperity and resident welfare."
236,공중볼 다툼 과정에서 1차로 공을 걷어내지 못한 것과 함께 흐른 공을 김민우가 안전하게 처리하지 못한 것이 아쉬운 장면이었다.,It was a pity moment that Kim Min-woo could not safely handle the ball that flowed along with the first ball that could not be kicked out in the mid-air ball fight.
237,어떤 스타일을 찾는데?,What type of clothes are you looking for?
238,김정은 북한 국무위원장이 2차 북미 정상회담과 베트남 공식 친선방문을 마치고 2일 오후 열차를 이용해 베트남 국경을 넘어 중국 핑샹(憑祥)을 통과한 뒤 최단 노선으로 북상하고 있다.,"North Korean leader Kim Jong-un is heading north on the shortest route after passing the Ping Xiang (憑祥), China, across the border with Vietnam, by train on the afternoon of the 2nd after finishing the second North American summit and the official friendly visit to Vietnam."
239,저희가 어떤 제품 개발 번호를 기반으로 제안을 드려야 하는지 알려주시겠어요?,Could you please let me know about the product development number which our offer should be based on?
240,실제 제품에 적용할 가능성이 높다는 점에서 좋은 평가를 받았다.,It was favorably reviewed with its high potential for practical application.
241,특히 2011년 포즈난 헨릭 비에니아프스키 국제 콩쿠르에서 1등을 수상한 이후 폴란드에서 명성이 자자하다.,"Especially in 2011, he won the first prize at the Poznan Henryk Wieniawsky International Competition in 2011, and has earned a reputation in Poland."
242,“지하철 내부에 불이 났으니 빨리 진화하라”는 교관의 구령이 떨어지기가 무섭게 10명이 아이들이 소화기 앞에 자리 잡았다.,"As soon as an instructor commanded that, ""A fire breaks out inside the subway, quickly extinguish it,"" ten children were placed in front of the fire extinguishers."
243,상임위원장이 다음 각 호의 어느 하나에 해당하는 경우에 의회는 불신임을 의결할 수 있다.,"Where the Standing Committee Chairperson falls under any of the following subparagraphs, the Council may pass a resolution of non-confidence:"
244,무선식별장치 또는 등록인식표를 잃어버리거나 헐어 못쓰게 되는 경우,Where a radio identification device or registered identification tag is lost or worn out;
245,"맞아요, 그런데 저는 그것에 대해 생각하고 싶지 않습니다.","That's right, but I don't want to think about it."
246,"상품 수량과 가격은 고객께서 선택하신 창고에 즉시 반영되며, 판매처로 리스트가 보내집니다.",The item quantity and cost will instantly populate within your select warehouse and list to the marketplaces.
247,"불가리아 경찰은 취재업무와 관련이 있는지 여부에 대해 수사하고 있지만, 그녀의 죽음에 대해 국제적 비난이 쏟아지고 있다.","While investigations are underway over her death if it is related to her work as a journalist, the Bulgarian police are internationally blasted over her death."
248,볼턴 보좌관은 1일(현지시간) 미 CBS ‘페이스 더 네이션’에 출연해 미국의 인내심이 점점 줄어들고 있음을 숨기지 않았다.,"Bolton did not hide America's growing impatience on the CBS ""Face the Nation"" on the 1st (local time)."
249,"시설의 소재지는 충청남도 태안군 남면 진산리 18-2번지에 두며, 명칭은“서초휴양소”(이하 “휴양소”라 한다)라 한다.","The location of the facility shall be 18-2, Jinsan-ri, Nam-myeon, Taean-gun, Chungcheongnam-do, the name of which is ""Seocho Resting Facility"" (hereinafter referred to as ""resting facility"")."
250,설비 투자는 자동차 등 운송장비(4.6%) 투자가 증가했지만 특수산업용기계 등 기계류(-3.8%) 투자가 줄어 1개월 전보다 1.4% 감소했다.,"Investment in equipment and transportation equipment, such as automobiles, increased (4.6%), but investment in machinery such as special industrial machinery decreased (-3.8%) , down 1.4% from a month earlier."
251,당신은 주위에 그에게 소개할 만한 여자가 있습니까?,Do you have any woman around to introduce to him?
252,멜로 여신 한지민과 국민 남친 정해인이 만나 그려낼 봄 날 로맨스 케미에 큰 관심이 모아진다.,"Attention will be paid to the romance chemistry on spring days, which will be drawn by the melodrama goddess Han Ji-min and the public boyfriend Chung Hae-in."
253,"정면의 방과 대청 앞에는 길게 툇마루를 시설했으며, 정면 좌측 온돌방 뒤에는 물건을 보관하는 반침이 있다.","There is a long wooden floor in front of the room in front space and the main floored room, and there is a closet for storing things behind the ondol room on the left of the front."
254,천안함 폭침 도발을 재조사해 북한의 소행이 아니라는 사실이 확인되면 남한이 북한에 공식 사과해야 한다는 주장이 제기돼 논란이 일고 있다.,Controversy has flared up as South Korea should make an official apology to North Korea if it is confirmed that the North was not responsible for the sinking of the South Korean warship Cheonan.
255,김 이사는 13일에도 한국당의 ‘5·18 망언’ 관련 “한국당의 실체가 궁극적으로 어디에 있는지를 극명하게 보여준 사례”라고 주장했다.,"Kim also claimed on the 13th that it was ""a clear example of where the reality of the party is ultimately"" in relation to the LKP's May 18 blasphemy."
256,"저는 한미FTA이후에 하도 정부대책이 늦어서, 우리는 그 다음날 바로 발표했다.","After the Korea-US FTA, I was delayed by the government, so we announced it the next day."
257,"이혼 얘기를 한 후 제가 너무 힘들어하니깐, 더 잘해줍니다.","After talking about divorce, I've been having a hard time, so he's nicer to me."
258,"저우 일가의 대북 사업을 이끈 회사는 딸 저우웨이(76)와 남편, 두 딸이 주주 또는 경영자인 ‘단둥웨이민 국제무역’이다.","The company that led the Zhou family's business in North Korea is ""Dandong Weimin International Trade,"" in which her 76-year-old daughter, her husband and two daughters, are shareholders or managers."
259,우리 새 공장을 둘러보시겠습니까?,Would you like to look around our new plant?
260,다시는 이런 사고가 일어나지 않게 통학버스 선팅을 금지하거나 시동을 끄려면 버스 맨 뒷 좌석 버튼을 누르게 하자는 다양한 제안이 청와대 국민 청원에 올라왔습니다.,People's petitions went up on the Blue House website making various suggestions such as to ban tinting school bus windows or to put a button on the backmost seat of the bus to turn off the bus' ignition to prevent these types of accidents from happening again.
261,경기도와 경기농림진흥재단이 도내 막걸리 기업들의 경쟁력 강화를 위해 1개 업체당 최대 500만원까지 기업들이 추진하는 마케팅 사업에 지원금을 지급하는 맞춤형 마케팅 지원사업을 펼친다.,"In order to strengthen the competitiveness of makgeolli companies in the province, Gyeonggi-do Province and Gyeonggi Green and Agriculture Foundation will carry out customized marketing support projects that will provide support for up to 5 million won per company for marketing projects pushed by companies."
262,이거 엄청나게 잘 팔리더군요.,It's selling like hotcakes.
263,18일 조이뉴스24 보도에 따르면 김동현 소속사 노석 대표는 지난달 김동현이 1억1000여만원을 빌려 가 갚지 않았다며 형사 고소했다.,"According to a report by Joynews24 on the 18th, No Seok, president of the Kim Dong-hyun's agency, filed a criminal complaint last month, claiming that Kim Dong-hyun borrowed 110 million won and did not pay back the money."
264,"상원은 공화당이, 하원은 민주당이 우세하다고 하지만 중간선거 결과가 어떠하든 미국의 대북전략은 큰 변화가 없을 것이다.","The Senate has a Republican Party and the House of Representatives is dominated by the Democrat, but whatever the result of the midterm elections, the US strategy for North Korea will not change much."
265,갈수록 격화하는 미중 무역분쟁에 15일 전후로 예정된 미국의 중국 환율조작국 지정이 겹치면 우리 경제는 벼랑 끝으로 내몰리게 된다.,"If the increasingly intensifying U.S.-China trade dispute overlaps with the designation of China as a currency manipulator by the U.S. around the 15th, the Korean economy will be driven to the brink."
266,"보통 맛, 매운맛 두 가지가 있습니다.",There are two choices: mild taste and spicy taste.
267,이번에 개인의 사적인 지출을 회사 공금으로 결제한 명세가 확인되셨습니다.,It was confirmed that you used the company money to pay for a personal expense.
268,철성을 낼 수 있는 사람은 성대가 좋은 사람이 아니면 안 된다.,The person who can make a metallic voice should not be anyone but with good vocal cords.
269,근데 그런 데도 노후화 된 건물들이 그대로 방치가 되어있고 그것들을 어떻게 운영해야 될지 모르는 상황들도 있는 것 같습니다.,"However, there seems to be a situation where old buildings are just being neglected and they do not know how to operate them."
270,"하나의 문은 아름다운 여인이, 다른 하나의 문에는 호랑이가 있습니다.","One door has a beautiful female behind, and the other a tiger."
271,"서병호 금융연구원 선임연구위원이 발표한 ‘금융회사 해외진출 성공사례’에 따르면 신한베트남은행은 올해 10월까지 6,300만달러의 순이익을 거둬 지난해 대비 30% 가량 성장했다.","According to the report ""A Case Study on the Success of Financial Institutions in Foreign Countries"" released by Suh Byung-ho, a senior researcher at the Korea Institute of Finance, Shinhan Vietnam Bank earned a net profit of $63 million in the first 10 months of this year, up about 30 percent from last year."
272,시진핑 중국 국가주석과 부인 펑리위안 여사가 27일 베이징에서 열린 북한 친선 예술단 공연을 관람하고 리수용 북한 노동당 국제 담당 부위원장과 만났다.,"Chinese President Xi-Jinping and his wife Peng Liyuan watched a performance by the amity Art Troupe in North Korea that was held in Beijing on 27th of this month and met with Lee Soo-yong, the Vice Chairman of the North Korean party, who is in charge with international affairs."
273,자세한 사항은 아래 사진을 참조 바랍니다.,Please refer to the photo below to have more details.
274,기존에 사용하던 ‘자유민주주의’ 표현 대신 ‘민주주의’로 통일할 방침이었지만 보수 진영의 반발이 커지자 한발 물러선 것이다.,"The party had planned to unify the country into ""democracy"" instead of the expression ""free democracy"" it used previously, but it took a step back in the face of growing resistance from the conservative camp."
275,제휴점 사정으로 객실 정보가 수시로 변경될 수 있습니다.,Room information may change from time to time due to Affiliate shop.
276,"광주시는 이번 의결로 완성차공장 합작법인 설립을 위한 국가균형발전 특별법 개정, 중앙투자심사 면제 등 법·제도적 지원이 탄력을 받게 됐다고 평가했다.",The Gwangju Metropolitan Government assessed that the decision will give momentum to legal and institutional support such as the revision of the Special Act on Balanced National Development and the exemption of central investment screening for the establishment of a joint venture for fully built units factory.
277,"길이 2.3cm로 매우 작지만, 끝이 뾰족한 오각형 모양 금속판에 용이 몸을 들며 비상하는 무늬가 미세한 알갱이를 붙이는 기법으로 수놓아졌다.","It is 2.3cm long and very small, but it has a pentagonal metal plate with a pointed tip that has a dragon flying up and is embroidered with a fine-grained technique."
278,그것은 절대로 불편해할 일이 아니에요.,That's not a thing to feel uncomfortable about.
279,한국선급(KR)의 SCF 보관 센터(KR SCF Archive Center)가 정보보안 관리체계 국제 표준인 ISO 27001 인증을 획득했다.,"KR SCF Archive Center has obtained ISO 27001 certification, an international standard for information security management system."
280,1997년 7월 태국에서 시작되어 아시아 각국으로 연쇄 확산된 금융위기는 한국에도 11월까지 심각한 타격을 가했다.,"The financial crisis that started in Thailand in July 1997 gripped many of the East Asian economies, and the South Korean financial system was also hit hard by November."
281,전국 쌀 전업농이 경기도 화성시에서 우리 쌀의 미래 비전을 공유한다.,"Rice farmers nationwide will share their vision for the future of our rice in Hwaseong City, Gyeonggi Province."
282,"네, 거기 쇼핑백 안에 같이 넣어놨는데요.","Yes, it's in the shopping bag with the merchandise."
283,위원은 직접 이해관계가 있는 안건의 경우에는 의결권을 행사할 수 없다.,A member shall not exercise his/her voting right in case of agenda items in which he/she has a direct interest.
284,흥미로운 사실은 독립운동가 여운형도 승동교회와 관련이 있다는 것이다.,"What's interesting is that Yeo Un-hyung, an independence activist, is also associated with the Seungdong Church."
285,"순간 안맹선은 옆에 있던 투표함 하나를 밀어 넘어뜨렸고, 이때 함 안에서 투표가 시작하기도 전에 이미 기표된 투표용지가 쏟아져 나왔다.","At that moment, An Maengseon pushed one of the boxes and its lid fell open, revealing that ballot papers had already been put into it before voting had started."
286,"본점이 아닌 영업조직이 선정하는 방식은 기보에서도 처음 시도하는 것으로, 현장 조직이 추천·평가·선정을 책임지고 진행해 신속하게 지원하는 데 초점을 맞추고 있다.","The method of selection by the sales organization, not the head office, is also the first attempt in Kibo, focusing on the field organization's responsibility for a recommendation, evaluation and selection, and providing prompt support."
287,"지원 자격은 화주기업의 경우 제조, 유통, 무역업체로 국내에 사업장을 보유하고 있는 기업이며, 물류기업은 최근 3년간 물류컨설팅 실적 3건 이상 또는 물류컨설팅이 가능한 컨설턴트가 3인 이상 상근 중인 기업이다.","Qualifications for logistics firms are companies that have companies in Korea as manufacturing, distribution, and trading companies. For logistics companies, it will be companies with 3 years or more experience in logistics consulting or 3 or more consultants who can provide logistics consulting over the past 3 years."
288,만약 이 면접에서 탈락하게 되신다면 어떻게 하실 계획인가요?,What do you plan to do if you fail to pass this interview?
289,이재율 경기도 행정1부지사가 21일 점심시간을 이용해 도청 제1회의실에서 직원들과의 편안한 소통의 시간을 갖는다.,"Lee Jae-yul, First Vice Governor of the administrative affairs of Gyeonggi Province, will use his lunch time on the 21st to have a time of comfortable communication with employees at the first conference room of the provincial government office."
290,"이날 행사에는 김기세 도 특화산업과장, 홍석우 도의회 경제과학기술위원회 의원, 민천식 포천시 부시장, 가구산업계 관계자들이 참석해 KOLAS 공인시험기관 인정 획득을 축하했다.","Kim Ki-se, head of the province's specialized industry, Hong Seok-woo, a member of the provincial council's Economic Science and Technology Committee, Min Chun-sik, vice mayor of Pocheon City, and officials from the furniture industry attended the event to celebrate the recognition of KOLAS-certified testing agency."
291,같은 성분이라도 기술력을 더해 체내 흡수율을 최대로 끌어올리거나 젤리·필름형 등 여러 제형으로 변형해 먹는 재미를 높이는 등 차별화된 모습으로 소비자의 선택을 받으려는 시도들이 이어지고 있다.,"Even if it is the same ingredient, there are attempts to maximize absorption rate of the body by adding technical skills or increase the fun of eating by modifying into various types such as jelly and film types."
292,지하철을 이용객에게는 열차 출발 지연이 가장 큰 부담이다.,Delays in train departures are the biggest burden for subway passengers.
293,혹시 원피스 말고 티셔츠도 할인이 들어가나요?,Do you happen to have a sale on a T-shirt other than a dress?
294,주민센터 관계자는 모녀가 소득 열람에 필요한 서류를 제출하거나 공과금을 체납하지 않았기 때문에 어쩔 수 없었다고 했다.,A community center employee said that it was inevitable since the mother and daughter had neither submitted documents needed to view the income nor delayed any payment of utility bills.
295,최종적으로 수정된 반바지 디자인 결정되었고 그 라인 시트와 참고 이미지들을 함께 전달 드립니다.,"The pants design has been determined for the final modification version, and I am sending the line sheet and reference images together."
296,당신이 아직까지 그녀를 기억하고 있다는 사실에 그녀는 기뻐할 거예요.,She'll be happy you still remember her.
297,"미디어 아트를 대중적으로 알렸던 고 백남준 작가가 죽은 지도 3년이 되었지만, 아직 일반 회화 등의 작품에 비해 설치 품도 많이 들고 상품 가치화도 어려운 것이 미디어 아트이다.","It has now been almost three years since Paik Nam-june died, the author of media art, publicized his work, but media art still has a lot more installed items and less product value than other paintings."
298,이건 그냥 말도 안 됩니다.,It just doesn't make any sense.
299,"그 동안 홍콩시장에서 인기를 끈 비너스 조각상(추정가 6억 원)외에 회화, 대형 호박조각 등이 함께 전시된다.","In the meantime, the statue of Venus (estimated 600 million won), which was popular in the Hong Kong market, will be displayed along with paintings and sculptures of large pumpkins."
300,더 이상의 의미는 없습니다.,It does not mean anything anymore.
301,㈜LG는 29일 서울 영등포구 여의도 트윈타워에서 임시 주주총회를 열어 구광모 LG전자 상무를 등기이사로 선임하는 안건을 통과시켰다.,"LG Co., Ltd. has held an extraordinary meeting of shareholders at Twin Towers in Yeouido, Yeongdeungpo-gu, Seoul, on the 29th, and passed the agenda of appointing Director Kwang-mo Koo of LG Electronics as the Board Director."
302,강경화 외교부 장관이 30일 일본군 위안부 피해자 고 김복동 할머니 빈소가 차려진 서울 신촌세브란스병원 장례식장을 찾아가 조문했다.,Foreign Minister Kang Kyung-hwa visited the funeral hall at Shinchon Severance Hospital in Seoul where old lady Kim Bokdong's mortuary is set up who was Japanese military sexual slavery on 30th.
303,"이번에 공급되는 근린생활시설용지와 인접해 대규모 테마파크 시설이 계획되어 있으며, 부지 남측에는 고양 방송영상밸리가 조성될 예정이다.","A large-scale theme park facility is planned adjacent to the neighboring living facility site provided this time, and a Goyang Broadcasting Video Valley will be established on the south side of the site."
304,그때는 다 처음이었고 끌려다니면서 배우는데 정신이 없었던 것 같은데 지금은 같이 무언가를 하고 있는 느낌이다.,"It was my first time at that time, and I seemed to be busy due to learning by being dragged around, but now I feel like I am doing something together."
305,"최근 ‘애플 쇼크’가 본격화하자, 뉴욕증시에서 루이뷔통모에헤네시(LVMH)·버버리·스와치 등 유럽계 명품업체의 주가가 일제히 급락한 것도 이 때문이다.","The reason why as Apple Shock recently started, shares of European luxury goods makers including Louis Vuitton Moehennes (LVMH), Burberry and Swatch plummeted in New York."
306,당신의 주문은 1월 27일 이전에 받을 수 있도록 준비하겠습니다.,We are going to prepare your item in the order for you to receive it before January 27th.
307,누리꾼들은 특히 성인영상물 배우를 쓴 광고가 광고 플랫폼과 시간대에 대한 고려 없이 편성된 점을 비판하고 있다.,The netizens are particularly critical of the fact that an ad using an adult movie actor has been put on schedule without consideration of the advertising platform and the time of day.
308,제4조의 규정에 따른 출장여비는 출장할 때 지급한다. 다만 업무의 특성 등을 고려하여 필요한 경우에는 부서장이 지정한 날에 일괄 지급할 수 있다.,"The travel expenses for business travel referred to in Article 4 shall be paid at the time of the business trip: Provided, That where necessary, in consideration of the characteristics of business, etc., the lump sum payment may be made on the day designated by the head of the department."
309,그것은 그것의 몰입도가 높기 때문이에요.,It is because it has a high level of engagement.
310,기술적 한계로 이번 실험에서 미세먼지 농도를 낮추기는 어렵지만 저감을 위한 다양한 시도가 시작됐다는 점에 의미가 있다는 게 정부의 설명이다.,"Due to technological limitations, it is difficult to lower the concentration of fine dust in the latest test, but the government explains that it is meaningful that various attempts to reduce it have begun."
311,"이렇다 보니, 실제로 대로변에 인접한 상가는 분양성적이 좋다.","As a result, the shopping mall adjacent to the main street has good sales results."
312,국민의 주머니를 털어 정부가 생색내는 형국이 되고 말았다.,It became a situation where the government gets credit by emptying the pockets of the people.
313,언니보고 전화해 달라고 할까요?,May I ask the sister to call you?
314,한국은 공무원이 되려면 먼저 시험을 통과해야 하는데 경쟁률이 매우 높습니다.,"In Korea, we need to pass the exam first to become a government employee, but it is quite competitive."
315,"경기가 둔화하고, 고용이 침체되면서 소비자 심리가 얼어붙고 있다는 해석이다.",This is the interpretation of consumer sentiment freezing as the economy slows down and employment stagnates.
316,필요한 경우에만 건별로 의뢰할 수는 없는 건가요?,Can’t we make requests by item only when we need it?
317,건강에 유해한 건 아니지만 많은 영양소들이 한 번에 들어오면 몸이 영양소들을 다 흡수하지 못합니다.,"It's not harmful to the body, but when a lot of nutrients come in at once, your body can't absorb all of them."
318,전날 미국 유대인 단체인 반명예훼손연맹(ADL)이 오마르 의원의 발언을 규탄하는 결의안 채택을 요구한 것에 발 빠르게 응답한 것이다.,"It was a quick response to a call for a resolution condemning Omar's comments on the previous day by the Anti-Defamation League (ADL), the American Jewish organization."
319,국방부 유해발굴감식단 남상호 유가족찾기팀장은 “유해는 찾았지만 신원을 아직 확인하지 못한 전사자는 1만여명”이라며 유가족들의 DNA 시료채취 참여를 당부했다.,"""We have found 10,000 dead soldiers' bodies, but have not confirmed their identities yet,"" said a team leader in the Dead Family Member Detection Team from KIA Recovery and Identification of the Ministry of National Defense, encouraging participation of DNA sample collection by family members of dead soldiers."
320,갑자기 온몸에 두드러기가 났어요. 진정이 안 되고 있어요.,I suddenly have a rash all over my body. It will not go away.
321,솔릭은 올해 첫 한반도 상륙 태풍으로 기록될 가능성이 높다.,Soulik is likely to be the first typhoon to land on the Korean peninsula this year.
322,올해는 바이오 정보 전문 업체로의 자리매김이 목표다.,Its goal is to establish itself as a bio information business this year.
323,트럼프 대통령은 보고서 검토 기간이 종료되는 18일까지 보고에 대한 동의 여부와 대응 방식을 결정할 예정이었다.,President Trump was to decide whether to agree to the report and how to respond by the end of the 18th.
324,위원회는 위원장 2인을 포함하여 12인 이내로 구성하되 공무원이 아닌 위원이 전체위원의 과반수가 되어야 한다.,"The Committee shall be comprised of not more than 12 members including two chairpersons, and the members who are not public officials shall be a majority of the total members."
325,확정판결을 받고 수용 중인 양심적 병역거부자는 총 71명으로 오는 30일 58명이 가석방되면 13명으로 줄게 된다.,A total of 71 conscientious objectors accommodated after the final ruling will be reduced to 13 when 58 are released on parole on the coming 30th.
326,"강남구 대치동 은마는 전용 84㎡가 지난달 18억3,000만원으로 최고가에 올라섰고 최근에는 호가가 최고 20억원까지 뛴 것으로 전해진다.","84㎡ iIn Eunma at Daechi-dong, Gangnam-gu, 84m2 dedicated to the highest price of 1.83 billion won last month."
327,"알다시피, 나는 구운 음식을 좋아해요.","As you know, I like roasted food."
328,공시비율 80%로 인해 서울의 일부 고가 단독주택이 주택공시가격과 토지 공시지가가 역전되는 현상이 벌어지면서 ‘공시비율을 폐지해야 한다’는 지적이 나왔다.,"Some pointed out that ""the public disclosure ratio should be abolished"" due to the reversal of the public housing price and land price of some expensive detached houses in Seoul due to the 80 % public disclosure ratio."
329,"관공서와 공공기관, 국가 행사, 방송 등에서 쓰이는 애국가 표준 음원이 지난 95년 KBS교향악단 연주 음원에서 약 23년 만에 바뀌게 된다.","The standard music of the national anthem, which is used in public offices, public institutions, national events, and broadcasting, will be changed from the performance music of the KBS Symphony Orchestra in 1995, in about 23 years."
330,하루빨리 대체 방안을 내놓았으면 좋겠습니다.,I expect more substitute measures as soon as possible.
331,게다가 2010년 10월말 설치한 ‘필동 주민운동장(중구 필동2가 134-28번지) 빗물저류조’도 4천 268톤의 빗물을 담아 남산골 한옥마을 빗물저류조와 함께 청계천이 넘치는 것을 막는데 일조하였다.,"In addition, the ""Pil-dong Community Stadium (Pil-dong 2-ga, Jung-gu, 134-28) Rainwater Reservoir"" installed in late October 2010 also contained 4,268 tons of rainwater and helped prevent the stream from overflowing along with the rain-water reservoir in Namsangol Hanok Village."
332,이 조례는 「긴급복지지원법」제2조제6호에 따라 지방자치단체의 조례로 정할 수 있는 위기사유를 규정함으로써 생계곤란 등 위기상황에 처하여 도움이 필요한 사람을 신속하게 지원하고 이들이 위기상황에서 벗어나 건강하고 인간다운 생활을 하게 함을 목적으로 한다.,"The purpose of this Ordinance is to promptly provide support to those in need of help in the face of a crisis situation, such as difficulty in livelihood, by stating the grounds for crisis that may be prescribed by Ordinance of local governments pursuant to subparagraph 6 of Article 2 of the Emergency Aid Support Act, and to help them lead a healthy and humane life out of the crisis."
333,난 뭘 먹고 살지 고민이에요.,I'm worried about how to live and what to eat.
334,전날 한 매체는 조광페인트가 러시아 가스관 코팅인증기관인 ‘브니가즈’로부터 관련 제품의 인증을 받아 러시아 철강사 대부분에 공급할 수 있다고 보도했다.,"On the previous day, a media outlet reported that Chokwang Paint has been certified by ""VNIGAZ,"" a Russian gas pipeline coating certification body, and can supply the products to most of the Russian steelmakers."
335,세면도구도 있다면 함께 가져다주실 수 있을까요?,Can you bring some toiletries with you if you have?
336,당신이 요청한 것처럼 나는 내 주소를 다음과 같이 보냅니다.,"As you requested, here I text you my address as follows."
337,서 대표는 “알칼리세정제의 세척력 유지기간이 짧은 단점을 해소하기 위해 일본 가이아워터사와의 기술협력으로 1년 이상 세척력을 발휘하는 알칼리세정제를 개발했다”고 설명했다.,"""We have developed an alkali cleanser that has washing power for more than a year through technical cooperation with Japan's Gia Water Company in order to resolve the short-term maintaining washing power of alkali cleansers,"" CEO Suh said."
338,20일 부산 연제구 부산시청 대강당에서 열린 ‘제9회 장수 부부 회혼례’에 참가한 결혼 60주년 이상인 장수부부 14쌍이 전통 혼례를 올리고 있다.,"Fourteen couples of long-lived couples over the 60th anniversary of their marriage are having a traditional wedding ceremony at Busan City Hall's Grand Auditorium in Yeonje-gu, Busan, on the 20th."
339,턱관절장애는 양측 귀 앞에 있는 턱관절의 염증·탈구로 인해 입을 벌릴 때 잡음이 발생하고 통증이 동반된다.,"The jaw joint disorder is caused by inflammation and dislocation of the jaw joint in front of both ears, causing noise and accompanied by pain when the mouth is opened."
340,당신의 귀여웠던 사진을 보고 싶어요.,I want to see photos when you were cute.
341,꼭 일주일 안에 해야 하나요? 찾으면 보내주나요?,Do I have to do it in a week? Will you send them to me if you find them?
342,모기는 난방이 잘된 대형 건물과 공동주택 지하 공간에 추위를 피해 서식하기 때문에 여름철보다 겨울철이 방제에 적기다.,"Mosquitoes live in well-heated large buildings and underground spaces of apartment houses to avoid cold, so the winter season is better suited for prevention than summertime."
343,당신은 월요일에 오후 8시까지 다른 무용실을 사용할 수 있습니다.,You can use the other dancing room until 8 on Monday.
344,그리고 혹시 제가 230V에 50Hz 제품으로 구매할 수 있나요?,And can I purchase 50Hz product at 230V?
345,"네, 당신이 많이 힘들다는 걸 알고 있습니다.","Yes, I know you are having a hard time."
346,계산이 잘못된 것 같은데 다시 한번 확인해주세요.,"I think the payment was done wrong, please check it."
347,"김종갑 한국전력 사장은 “지난해 원가 이하로 판 전력이 4조7,000억원에 달했다”며 연료비 변동을 전기요금에 반영하는 ‘전기도매 가격 연동제’ 도입의 필요성을 주장했다.","""We sold 4.7 trillion won of electricity at below cost last year,"" said Kim Jong-kap, CEO of KEPCO and argued for the need to introduce a price interlock system that reflects changes in fuel costs in electricity prices."
348,이를 위해 기본계획의 4대 전략별 목표와 70개 세부 추진과제의 예산반영이 필요한 분야에 전략적인 R&D예산배분을 추진한다.,"To this end, the strategic R & D budget allocation will be carried out in the areas that need to reflect the budget of the four strategic goals and 70 detailed tasks of the basic plan."
349,"초콜릿을 건네며 하는 사랑 고백이 태국 젊은이들 사이에서는 별로 유행하지 않아, 상대적으로 장미꽃의 인기가 더 눈에 띄는 날이라고 하겠다.","Confession of love by handing over chocolate is not so popular among young Thai people, so it is the day when the popularity of roses is more noticeable."
350,K-Pop 팬인 발존(Val John)의 사회로 진행된 본 경연대회는 발존이 직접 Kpop 노래와 춤을 선보이며 공연장을 열광시켰다.,"This contest, which was hosted by a K-pop fan, Val John, was filled with enthusiasm with Val John himself showing off dance and singing."
351,이 경우 배출자가 부담하는 반입수수료는 봉투 가격에 포함시킬 수 있다.,"In such cases, carry-in fees borne by the waste discharger may be included in the price of the waste bag."
352,"제36조에 따른 지원금은 기금의 이자수입 범위에서 지원하고, 기금의 결산상 이익금은 적립하여야한다.","Grants pursuant to Article 36 shall be supported within the scope of interest income of the Fund, and the proceeds of settlement of the Fund shall be accumulated."
353,정부가 출산율 목표치를 제시하지 않고 ‘2040세대 삶의 질’ 개선으로 정책 방향을 바꾼 것이 주된 특징이다.,The main characteristic is that the government changed the policy direction by improving the 'quality of life for 2040 generations' without providing the target rate for fertility.
354,"경기도와 파주시, 김포시, 연천군이 공동 주최하고 경기관광공사가 주관하는 이번 대회는 참가자들의 역량에 맞춰 100Km, 김포 14km, 연천 50km, 파주 18km·9km 코스로 나눠 진행한다.","Co-hosted by Gyeonggi Province, Paju, Gimpo City and Yeoncheon County, and organized by the Gyeonggi Tourism Organization, the event will be held in 100 kilometers, 14 kilometers of Gimpo, 50 kilometers of Yeoncheon and 18 kilometers and 9 kilometers of Paju, depending on the participants' capabilities."
355,초본을 뽑으려면 무조건 이렇게 동사무소에 와서 인쇄해야 하나요?,Do I have to come to the district office to get the print of the first draft of the resident registration?
356,그만큼 근로자 사이의 임금 격차가 줄었다는 얘기다.,That's how much the wage gap between workers has been reduced.
357,주문 포장은 어디서 기다려야 하는지 알려주시겠어요?,Can you tell me where to wait for the wrapping?
